Ticker;Nom;SUB_IND_GICS;IND_GICS;REGION_NAME;CUR_MKT_CAP;CURR_ENTP_VAL;NET_INCOME_FIRM;SALES_REV_TURN;NET_REV;GROSS_PROFIT;EBIT;EBITDA;NET_DEBT;CURRENT_EV_TO_T12M_EBIT;CURRENT_EV_TO_T12M_EBITDA;PX_TO_SALES_RATIO;TRAIL_12M_NET_SALES;CURRENT_EV_TO_12M_SALES;PE_RATIO;NUM_OF_EMPLOYEES;SUSTAIN_GROWTH_RT;PROF_MARGIN;;Datetime of data import
AFMD UQ Equity;Affimed NV;Biotechnology;Health Care;Germany;507663319,6;275,01054;#N/A N/A;28,36;#N/A N/A;#N/A N/A;-34,718;-33,603;-145,557;#N/A N/A;#N/A N/A;10,75534109;39,774;6,914329462;#N/A N/A;163;#N/A N/A;-145,8603667;;
XOM UN Equity;Exxon Mobil Corp;Integrated Oil & Gas;Energy;United States;3,48509E+11;401711,3288;23755,48012;276692;#N/A N/A;34647;23233;45382;46096;17,20240249;8,851776668;1,271926104;276692;1,451835719;15,48690333;63000;7,787925986;8,326948376;;
GE UN Equity;General Electric Co;Industrial Conglomerates;Industrials;United States;1,02028E+11;84015,06387;#N/A N/A;74196;#N/A N/A;18017;3676;7455;-19321;22,12751165;11,26962627;1,376624834;74129;1,132339531;#N/A N/A;164000;#N/A N/A;-8,787535716;;
HPQ UN Equity;HP Inc;Technology Hardware, Storage & Peripherals;Information Technology;United States;36119913282;41051,91328;6722,912395;63487;#N/A N/A;13417;5302;6322;4479;7,68762421;6,708925197;0,609023138;64869;0,632843319;8,700835375;51000;#N/A N/A;10,24304188;;
FC UN Equity;Franklin Covey Co;Research & Consulting Services;Industrials;United States;610488347,7;590,1823477;#N/A N/A;224,168;#N/A N/A;172,902;8,101;20,897;-12,784;42,71730947;23,74979266;2,550321204;237,102;2,489149597;32,74514824;1000;26,0345195;6,077138575;;
HD UN Equity;Home Depot Inc/The;Home Improvement Retail;Consumer Discretionary;United States;3,33217E+11;377142,7214;17451,32134;151157;#N/A N/A;50832;23040;25902;43926;16,24555646;14,56037068;2,225409188;151157;2,495039736;20,5605674;500000;720,3808442;10,871478;;
IBM UN Equity;International Business Machines Corp;IT Consulting & Other Services;Information Technology;United States;1,11694E+11;159679,3003;6868,390738;57351;#N/A N/A;31486;6253;13750;47890;25,03232779;11,61304002;1,571972685;70786;2,784246138;13,7879092;282100;11,66067302;10,01377483;;
GO UW Equity;Grocery Outlet Holding Corp;Food Retail;Consumer Staples;United States;2702438182;4026,703182;74,82329454;3079,582;#N/A N/A;948,786;89,095;282,904;1324,265;26,59034675;14,23346146;0,87487745;3079,582;1,307548616;54,98961253;946;6,451716445;2,023326542;;
JNJ UN Equity;Johnson & Johnson;Pharmaceuticals;Health Care;United States;4,54443E+11;457585,7084;21045,75;93775;#N/A N/A;63920;23647;31337;3143;19,35068755;14,60209045;4,869889413;93775;4,879612993;20,87077103;144300;12,23664904;22,26392962;;
PSNL UQ Equity;Personalis Inc;Life Sciences Tools & Services;Health Care;United States;343418832,8;112,8798328;#N/A N/A;85,494;#N/A N/A;31,657;-65,353;-54,33;-230,539;#N/A N/A;#N/A N/A;3,920646131;85,494;1,320324616;#N/A N/A;235;#N/A N/A;-76,2930732;;
MCD UN Equity;McDonald's Corp;Restaurants;Consumer Discretionary;United States;1,68296E+11;212935,4292;8525,392395;23222,9;#N/A N/A;15175,6;10356;13784,4;44639,9;19,590429;15,44756603;7,288474868;23222,9;9,169200626;24,40386678;200000;#N/A N/A;32,49034358;;
RPD UQ Equity;Rapid7 Inc;Systems Software;Information Technology;United States;5487260743;6176,386743;#N/A N/A;535,404;#N/A N/A;366,456;-120,065;-70,089;689,126;#N/A N/A;#N/A N/A;9,766992601;535,404;11,53593687;#N/A N/A;2353;#N/A N/A;-27,33151041;;
MRK UN Equity;Merck & Co Inc;Pharmaceuticals;Health Care;United States;1,96809E+11;223417,3386;13766,67044;48704;#N/A N/A;35078;12538;16095;26535;17,76045475;13,88116425;3,927558284;50157;4,587248246;11,56942033;68000;23,4267202;26,79246058;;
BCEL UW Equity;Atreca Inc;Biotechnology;Health Care;United States;112898803;-4,13019697;#N/A N/A;0;#N/A N/A;0;-110,303;-105,753;-117,029;#N/A N/A;#N/A N/A;#N/A N/A;0;#N/A N/A;#N/A N/A;134;#N/A N/A;#N/A N/A;;
MMM UN Equity;3M Co;Industrial Conglomerates;Industrials;United States;82449707000;96072,707;6321,953914;35355;#N/A N/A;16560;7369;9603;13552;13,01010011;10,00444726;2,364412884;35355;2,717372564;14,2851498;96163;15,49643879;16,74727761;;
IMUX UW Equity;Immunic Inc;Biotechnology;Health Care;United States;287720572;201,898572;#N/A N/A;0;#N/A N/A;0;-91,665;-91,077;-85,822;#N/A N/A;#N/A N/A;#N/A N/A;0;#N/A N/A;#N/A N/A;55;#N/A N/A;#N/A N/A;;
BAC UN Equity;Bank of America Corp;Diversified Banks;Financials;United States;3,37151E+11;#N/A N/A;#N/A N/A;93851;89113;#N/A N/A;#N/A N/A;#N/A N/A;1662;#N/A N/A;#N/A N/A;3,78223537;93851;#N/A N/A;11,6769047;208248;9,220018464;35,88477551;;
GSAT UA Equity;Globalstar Inc;Alternative Carriers;Communication Services;United States;1958730000;2214,105;#N/A N/A;124,297;#N/A N/A;72,334;-65,503;30,734;255,375;#N/A N/A;72,04089933;15,49787644;124,297;17,81302043;#N/A N/A;329;#N/A N/A;-90,60958832;;
AKRO UW Equity;Akero Therapeutics Inc;Biotechnology;Health Care;United States;483528632,4;296,5816324;#N/A N/A;0;#N/A N/A;0;-100,886;-100,521;-186,947;#N/A N/A;#N/A N/A;#N/A N/A;0;#N/A N/A;#N/A N/A;33;#N/A N/A;#N/A N/A;;
PFE UN Equity;Pfizer Inc;Pharmaceuticals;Health Care;United States;2,92639E+11;303226,9504;23171,65226;81288;#N/A N/A;50467;19433;25131;10326;15,55447441;12,06585294;3,57869722;81491;3,730279381;12,61228445;79000;12,15094541;27,03843126;;
PG UN Equity;Procter & Gamble Co/The;Household Products;Consumer Staples;United States;3,48845E+11;374084,9722;14715,00959;76118;#N/A N/A;39010;17986;20966;22550;21,35675795;18,42420076;4,549962956;78346;4,774780744;25,49405774;101000;15,53821719;18,79450327;;
T UN Equity;AT&T Inc;Integrated Telecommunication Services;Communication Services;United States;1,63751E+11;363766,8161;25568,1205;168864;#N/A N/A;89057;23347;52002;182493;14,97903654;6,995246646;0,973109009;168864;2,154199925;6,916974947;203000;3,017389461;11,89181827;;
TRV UN Equity;Travelers Cos Inc/The;Property & Casualty Insurance;Financials;United States;42842229857;49702,22986;3941,291162;34816;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6860;10,35894745;#N/A N/A;1,265934359;34816;1,427568642;12,70561623;30800;10,47214782;10,51815257;;
RTX UN Equity;Raytheon Technologies Corp;Aerospace & Defense;Industrials;United States;1,43801E+11;171153,0139;5005,535186;64388;#N/A N/A;12491;4958;10040;25721;34,12873533;17,04711294;2,24650757;64388;2,658150803;21,94157943;174000;-0,583814791;6,001118221;;
WMT UN Equity;Walmart Inc;Hypermarkets & Super Centers;Consumer Staples;United States;4,01352E+11;452553,4741;14921,15789;572754;#N/A N/A;143754;25942;36600;42563;16,80584405;12,36484902;0,705146782;572754;0,79013586;22,43255852;2300000;9,534826808;2,387237802;;
CSCO UW Equity;Cisco Systems Inc/Delaware;Communications Equipment;Information Technology;United States;2,26194E+11;217691,4476;10937,59131;49818;#N/A N/A;31894;12833;15094;-11824;15,58836001;13,29007617;4,445919967;51549;4,2230004;18,95738254;79500;14,4898132;21,25938416;;
INTC UW Equity;Intel Corp;Semiconductors;Information Technology;United States;1,82303E+11;186168,44;20414,52334;79024;#N/A N/A;43815;19456;32046;3865;9,562534398;5,809412719;2,299481519;79024;2,355846831;9,823271182;121100;15,28683633;25,14172909;;
MSFT UW Equity;Microsoft Corp;Systems Software;Information Technology;United States;2,0986E+12;2053581,819;63292,62761;168088;#N/A N/A;115856;69916;83729;-48056;26,03576704;21,89342977;11,3848942;184903;11,10626555;32,08182093;181000;36,89644771;36,45173956;;
SAM UN Equity;Boston Beer Co Inc/The;Brewers;Consumer Staples;United States;4300866141;4338,553141;#N/A N/A;2057,622;#N/A N/A;797,792;7,997;90,376;37,687;425,8467548;48,00558932;2,087815678;2057,622;2,108527777;83,72985498;2543;#N/A N/A;0,707272764;;
C UN Equity;Citigroup Inc;Diversified Banks;Financials;United States;1,0889E+11;183454,7769;#N/A N/A;79865;71884;#N/A N/A;35450;40475;54870;6,656061879;4,532545445;1,399992847;79865;2,297061001;5,726932451;223000;7,44890374;27,48638327;;
AIG UN Equity;American International Group Inc;Multi-line Insurance;Financials;United States;47190776468;79811,77647;10458,29631;52057;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;29165;5,954325311;#N/A N/A;0,949950591;52057;1,533161275;11,68104812;36600;13,24751827;18,03407803;;
EFC UN Equity;Ellington Financial Inc;Mortgage REITs;Financials;United States;1022520509;2277,884509;#N/A N/A;0;#N/A N/A;#N/A N/A;-65,441;-65,441;988,129;#N/A N/A;#N/A N/A;#N/A N/A;0;#N/A N/A;6,908139961;170;3,530248808;#N/A N/A;;
MO UN Equity;Altria Group Inc;Tobacco;Consumer Staples;United States;91553423882;115053,4239;3243,906904;21111;#N/A N/A;13992;11560;11804;23500;9,952718329;9,746986096;4,402674162;21111;5,44992771;10,9331125;6000;#N/A N/A;11,72374591;;
CLPR UN Equity;Clipper Realty Inc;Residential REITs;Real Estate;United States;398377865,6;1491,236866;#N/A N/A;122,85;#N/A N/A;#N/A N/A;32,227;54,985;1007,4;56,16922918;28,99659457;1,253217459;122,29;12,19426663;#N/A N/A;156;#N/A N/A;-3,993487993;;
IP UN Equity;International Paper Co;Paper Packaging;Materials;United States;16138506930;20545,50693;2101,079079;19363;#N/A N/A;5531;1168;2516;4407;17,47015218;8,165940751;0,768952878;21779;1,06107044;8,820341309;38200;-11,52031484;9,048184682;;
CNVY UN Equity;Convey Health Solutions Holdings Inc;Health Care Technology;Health Care;United States;359749350,5;513,9443505;#N/A N/A;282,914;#N/A N/A;111,617;10,451;38,483;197,914;#N/A N/A;#N/A N/A;1,020571293;282,914;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-2,28408633;;
ABT UN Equity;Abbott Laboratories;Health Care Equipment;Health Care;United States;2,04211E+11;213367,2465;7529,999269;43075;#N/A N/A;24538;8425;12322;8934;25,2307235;17,31595898;4,780345061;43075;4,953389356;26,98861026;113000;11,93684159;16,41555427;;
AFL UN Equity;Aflac Inc;Life & Health Insurance;Financials;United States;39823474420;42833,47442;4518,41413;22106;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3010;7,703862306;#N/A N/A;1,868364443;22103;1,937640207;9,9666324;12447;10,23651364;19,56482403;;
APD UN Equity;Air Products and Chemicals Inc;Industrial Gases;Materials;United States;48569410796;52815,6108;2214,727455;10323;#N/A N/A;3136,9;2281,4;3692,2;2418,4;23,31506237;14,69059045;4,438617371;10942;4,826869932;23,25975469;20625;6,678136969;20,33420517;;
GMED UN Equity;Globus Medical Inc;Health Care Equipment;Health Care;United States;6671352574;5729,238574;149,191;958,102;#N/A N/A;718,879;171,953;245,193;-942,114;33,29287454;23,36624037;6,906784538;958,102;5,97977937;38,37797274;2400;9,187528963;15,57151535;;
RETA UQ Equity;Reata Pharmaceuticals Inc;Pharmaceuticals;Health Care;United States;1179486976;725,2619756;#N/A N/A;11,49;#N/A N/A;#N/A N/A;-244,708;-239,905;-454,225;#N/A N/A;#N/A N/A;102,5179426;11,49;63,1211467;#N/A N/A;346;#N/A N/A;-2588,21584;;
HES UN Equity;Hess Corp;Oil & Gas Exploration & Production;Energy;United States;29267854468;36421,85447;846,3087248;7473;#N/A N/A;4210;2037;3636;6428;17,70111305;10,01701168;3,893773975;7473;4,873792917;44,1117419;1545;6,780710919;7,480262278;;
DNB UN Equity;Dun & Bradstreet Holdings Inc;Research & Consulting Services;Industrials;United States;6902965851;10620,16585;#N/A N/A;2165,6;#N/A N/A;#N/A N/A;145,6;761,5;3653,1;72,94069953;13,94637669;3,168945145;2165,6;4,904029299;513,3549309;4039;#N/A N/A;-3,310860731;;
PSTX UW Equity;Poseida Therapeutics Inc;Biotechnology;Health Care;United States;228921650,3;83,79465034;#N/A N/A;31,238;#N/A N/A;#N/A N/A;-141,411;-136,859;-145,127;#N/A N/A;#N/A N/A;7,291873543;31,238;2,682458875;#N/A N/A;263;-59,77057671;-400,070427;;
NKTX UW Equity;Nkarta Inc;Biotechnology;Health Care;United States;314666913,3;69,77991325;#N/A N/A;0;#N/A N/A;0;-51,508;-48,866;-305,994;#N/A N/A;#N/A N/A;#N/A N/A;0;#N/A N/A;#N/A N/A;95;#N/A N/A;#N/A N/A;;
ADM UN Equity;Archer-Daniels-Midland Co;Agricultural Products;Consumer Staples;United States;46626095482;56554,09548;2927,766979;85249;#N/A N/A;5987;2829;4614;9638;19,70420245;12,25706447;0,549033217;85249;0,663398931;16,52800713;40739;9,062346182;3,177749886;;
ADP UW Equity;Automatic Data Processing Inc;Data Processing & Outsourced Services;Information Technology;United States;87514330736;89198,83074;2644,653293;15005,4;#N/A N/A;6365,1;3324,6;3993,1;860,8;25,10124784;21,21861904;5,609638253;15696,6;5,682684832;32,52157796;56000;18,60676492;17,31709918;;
AZO UN Equity;AutoZone Inc;Automotive Retail;Consumer Discretionary;United States;38790601040;44392,06204;2328,796759;14629,585;#N/A N/A;7717,785;2944,527;3723,319;7197,942;13,74886553;12,13592536;2,557778618;15603,161;2,845068511;17,06053203;105000;#N/A N/A;14,83510298;;
AVY UN Equity;Avery Dennison Corp;Paper Packaging;Materials;United States;13841460817;16966,06082;792,7181745;8408,3;#N/A N/A;2312,8;1058,7;1371,6;3124,6;15,9478916;12,36953982;1,666127488;8408,3;2,017775391;18,76796813;36000;31,09926316;8,802017055;;
VRSK UW Equity;Verisk Analytics Inc;Research & Consulting Services;Industrials;United States;29651868887;33007,56889;762,8644962;2998,6;#N/A N/A;1940,8;1000,5;1434,9;3329,7;32,61560112;23,00339319;9,92205986;2998,6;11,00765987;41,01157405;9367;16,19385229;22,21703462;;
BLL UN Equity;Ball Corp;Metal & Glass Containers;Materials;United States;28603598144;36257,59814;1106,214286;13811;#N/A N/A;2726;1291;2082;7596;27,80005647;17,41479258;2,099396701;13811;2,625269578;29,33861691;24300;19,91321307;6,357251466;;
MBIO UQ Equity;Mustang Bio Inc;Biotechnology;Health Care;United States;69323437,25;-49,46356275;#N/A N/A;0;#N/A N/A;0;-56,806;-54,799;-95,576;#N/A N/A;#N/A N/A;#N/A N/A;0;#N/A N/A;#N/A N/A;62;#N/A N/A;#N/A N/A;;
BK UN Equity;Bank of New York Mellon Corp/The;Asset Management & Custody Banks;Financials;United States;41049423061;#N/A N/A;#N/A N/A;16158;15931;#N/A N/A;#N/A N/A;#N/A N/A;-87370;#N/A N/A;#N/A N/A;2,678080196;16158;#N/A N/A;12,12317985;49100;5,938221333;23,59550562;;
BAX UN Equity;Baxter International Inc;Health Care Equipment;Health Care;United States;39339636632;54742,63663;1464,616114;12784;#N/A N/A;5105;1710;2714;15359;31,80200553;20,17046302;3,076357304;12784;4,282121138;23,67834924;60000;6,999841071;10,04380476;;
BDX UN Equity;Becton Dickinson and Co;Health Care Equipment;Health Care;United States;73989221226;89504,22123;2529,621766;20248;#N/A N/A;9427;2799;5204;15785;37,73365144;19,26064584;3,752014045;19927;4,491605421;20,70803491;75000;4,260801976;10,33188463;;
BRK/B UN Equity;Berkshire Hathaway Inc;Multi-Sector Holdings;Financials;United States;7,3192E+11;328657,1069;93187,07066;354636;#N/A N/A;139321;114863;126997;-411994;#N/A Field Not Applicable;#N/A Field Not Applicable;#N/A Field Not Applicable;354636;#N/A Field Not Applicable;#N/A Field Not Applicable;371653;18,9168948;25,32032845;;
BBY UN Equity;Best Buy Co Inc;Computer & Electronics Retail;Consumer Discretionary;United States;23151580824;24153,58082;2474,25463;51761;#N/A N/A;11640;3039;3908;1002;7,744527114;6,180547805;0,456461168;51761;0,466636673;9,83502701;102000;47,44967621;4,741021232;;
HRB UN Equity;H&R Block Inc;Specialized Consumer Services;Consumer Discretionary;United States;4207241442;6537,026442;678,1121618;3413,987;#N/A N/A;1571,895;769,627;1165,186;1004,807;17,96730453;12,70016017;1,549280548;2987,847;2,187871883;13,09784851;3600;#N/A N/A;17,09997724;;
PRVA UW Equity;Privia Health Group Inc;Health Care Services;Health Care;United States;2311669074;1986,518074;#N/A N/A;817,075;#N/A N/A;#N/A N/A;25,38;27,21;-50,974;#N/A N/A;#N/A N/A;2,555301987;817,075;#N/A N/A;65,93939463;#N/A N/A;#N/A N/A;3,823883976;;
BSX UN Equity;Boston Scientific Corp;Health Care Equipment;Health Care;United States;60164981105;67764,98111;1370,907993;11888;#N/A N/A;8177;1199;2382;7600;55,95311142;28,4487746;5,045417213;11888;5,700284413;37,74976494;41000;6,160202836;8,756729475;;
ZTS UN Equity;Zoetis Inc;Pharmaceuticals;Health Care;United States;87918679642;91218,67964;2220,125402;7776;#N/A N/A;5473;2760;3258;3299;32,98392287;27,99836699;11,36298388;7776;11,73079728;39,79352968;12100;30,81011869;26,19598765;;
AVAH UW Equity;Aveanna Healthcare Holdings Inc;Health Care Services;Health Care;United States;916216815,4;1687,718815;#N/A N/A;1495,105;#N/A N/A;454,515;-3,487;31,459;1091,057;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-3,815785513;;
BMY UN Equity;Bristol-Myers Squibb Co;Pharmaceuticals;Health Care;United States;1,51272E+11;179962,0697;8149,430477;46385;#N/A N/A;36445;7378;18277;28630;24,29096856;9,846368097;3,322422505;46385;3,87974711;16,97917104;32200;9,456453787;15,07815026;;
BF/B UN Equity;Brown-Forman Corp;Distillers & Vintners;Consumer Staples;United States;29345707232;30860,70723;970,6623497;3461;#N/A N/A;2094;1166;1284;1478;27,40737765;25,61054542;8,021970568;3749;8,231717053;37,16876035;4700;-38,75665301;26,09072522;;
CTRA UN Equity;Coterra Energy Inc;Oil & Gas Exploration & Production;Energy;United States;18830358917;21286,35892;1205,800266;3449;#N/A N/A;1854;1564;2280;2456;13,57368836;9,336122332;3,980685783;3449,743;6,171748019;12,15142088;936;8,583859687;33,57494926;;
CPB UN Equity;Campbell Soup Co;Packaged Foods & Meats;Consumer Staples;United States;12934029559;17839,02956;1160,443114;8476;#N/A N/A;2811;1545;1940;5223;12,90812559;8,805049141;1,561867173;8302;2,148762896;15,83620441;14100;13,99165503;11,82161397;;
CCL UN Equity;Carnival Corp;Hotels, Resorts & Cruise Lines;Consumer Discretionary;United States;19666504995;45134,505;#N/A N/A;1908;#N/A N/A;1449;-7090;-4654;25468;#N/A N/A;#N/A N/A;10,38709331;1908;23,65540094;#N/A N/A;39000;#N/A N/A;-497,9559748;;
LUMN UN Equity;Lumen Technologies Inc;Alternative Carriers;Communication Services;United States;11021718852;41205,71885;3178,585339;19687;#N/A N/A;11199;4285;8814;30184;9,41303242;4,675030503;0,57923805;19687;2,093042051;5,621103437;36000;8,91799413;10,32661147;;
CLF UN Equity;Cleveland-Cliffs Inc;Steel;Materials;United States;13492521224;18682,52122;#N/A N/A;20444;#N/A N/A;4534;4012;4909;5190;4,632275069;3,805769245;0,648162478;20444;0,913838839;4,5869987;25000;76,69404517;14,61553512;;
CLX UN Equity;Clorox Co/The;Household Products;Consumer Staples;United States;15773556110;18987,55611;789,09;7341;#N/A N/A;3199;927;1211;2867;42,19456913;28,46710062;2,243859488;7080;2,681858208;29,13224026;9000;-35,39058794;9,671706852;;
CMS UN Equity;CMS Energy Corp;Multi-Utilities;Utilities;United States;19103894271;31908,89427;1795,284326;7329;#N/A N/A;4259;1146;2268;12024;27,81555692;14,06917737;2,574629515;7399;4,353785547;23,78631365;9583;-1,695537216;18,46090872;;
CEIX UN Equity;CONSOL Energy Inc;Coal & Consumable Fuels;Energy;United States;1094400945;1618,425945;95,13170814;1261,034;#N/A N/A;517,694;98,749;341,027;524,025;15,96266843;4,745741378;0,865840903;1261,034;1,283411823;16,86105922;1575;5,562930756;2,704923103;;
CL UN Equity;Colgate-Palmolive Co;Household Products;Consumer Staples;United States;62591083422;69920,08342;2311,414966;17421;#N/A N/A;10375;3332;4029;6967;20,83422728;17,35420288;3,611928442;17421;4,013551657;23,32447207;33800;-499,9868763;12,43327019;;
CMA UN Equity;Comerica Inc;Regional Banks;Financials;United States;12026474670;#N/A N/A;#N/A N/A;3024;2967;#N/A N/A;#N/A N/A;#N/A N/A;-20080;#N/A N/A;#N/A N/A;4,106643486;3024;#N/A N/A;11,04091456;7442;8,987064969;39,36636333;;
CAG UN Equity;Conagra Brands Inc;Packaged Foods & Meats;Consumer Staples;United States;15321545528;24714,94553;1671,866901;11184,7;#N/A N/A;3179,2;1776,2;2214,9;9151,4;16,3913951;13,03530882;1,370891959;11222,8;2,202208498;14,1100489;18600;5,877323394;11,61229179;;
ED UN Equity;Consolidated Edison Inc;Multi-Utilities;Utilities;United States;31701713691;56218,71369;2126,668836;13676;#N/A N/A;10922;2826;4944;24218;19,64085744;11,37109905;2,282607408;13676;4,11075707;20,92278988;13871;-1,551374188;9,842059082;;
BIG UN Equity;Big Lots Inc;General Merchandise Stores;Consumer Discretionary;United States;980953472,4;2742,719472;184,8956847;6150,603;#N/A N/A;2397,007;239,753;382,325;1761,766;8,568561667;7,173790551;0,169936646;6150,603;0,445926923;5,970872649;10800;12,76304273;2,890415785;;
GLW UN Equity;Corning Inc;Electronic Components;Information Technology;United States;30932716142;36840,71614;2144,548185;14082;#N/A N/A;5063;2112;3732;5696;17,19696592;9,871574529;2,149166231;14082;2,616156522;30,96887589;61200;5,388992464;13,53500923;;
CMI UN Equity;Cummins Inc;Construction Machinery & Heavy Trucks;Industrials;United States;28416982167;30769,98217;2218,315158;24021;#N/A N/A;5695;2706;3540;1426;11,31791106;8,692085358;1,201316021;24021;1,280961749;13,63680073;59900;12,16745375;8,871404188;;
MEG UN Equity;Montrose Environmental Group Inc;Environmental & Facilities Services;Industrials;United States;1516302411;1781,100411;#N/A N/A;546,413;#N/A N/A;177,385;-9,455;35,355;82,598;#N/A N/A;50,37761026;2,494372138;546,413;3,259623052;#N/A N/A;2500;#N/A N/A;-4,634772599;;
DHR UN Equity;Danaher Corp;Life Sciences Tools & Services;Health Care;United States;1,9238E+11;216343,771;6631,813635;29453;#N/A N/A;17952;7465;9938;20686;28,87299599;21,76934705;6,525318894;29453;7,345389976;30,02374644;78000;14,32525531;21,84157811;;
TGT UN Equity;Target Corp;General Merchandise Stores;Consumer Discretionary;United States;96293939938;106595,9399;7274,310991;106005;#N/A N/A;31042;8946;11588;10302;11,80098425;9,198821189;0,957114953;106005;1,005574642;15,37299144;409000;36,69314252;6,552521107;;
DE UN Equity;Deere & Co;Agricultural & Farm Machinery;Industrials;United States;1,22373E+11;129063,2002;6739,426204;44024;#N/A N/A;14908;8595;10761;3243;15,78368597;12,684344;2,781915423;44481;2,901535491;21,91493861;75550;22,73351693;13,54488461;;
